Plaintext,Modified_Plaintext,Key,Speck_CTR_Avalanche,Speck_CBC_Avalanche,Speck_PCBC_Avalanche,Speck_CFB_Avalanche,Speck_OFB_Avalanche,Simon_CTR_Avalanche,Simon_CBC_Avalanche,Simon_PCBC_Avalanche,Simon_CFB_Avalanche,Simon_OFB_Avalanche
abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon about,abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon legal,232376350979082653136665370914948268550,0.5511811023622047,0.4453125,0.46875,0.4330708661417323,0.4765625,0.48031496062992124,0.5078125,0.5390625,0.4523809523809524,0.4409448818897638
legal winner thank year wave sausage worth useful legal winner thank yellow,legal winner thank year wave sausage worth useful legal winner thank letter,142011041006617577726024029813370071690,0.4609375,0.5078125,0.484375,0.4609375,0.4921875,0.5511811023622047,0.4765625,0.515625,0.4296875,0.5
letter advice cage absurd amount doctor acoustic avoid letter advice cage above,letter advice cage absurd amount doctor acoustic avoid letter advice cage zoo,209711012617788110142250376600226695829,0.512,0.4765625,0.4765625,0.4881889763779528,0.4523809523809524,0.578125,0.484375,0.5234375,0.390625,0.4921875
zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo wrong,zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo abandon,201068148361677433474610788246390212805,0.6015625,0.4921875,0.5078125,0.4296875,0.5078125,0.5433070866141733,0.5546875,0.5354330708661418,0.40476190476190477,0.5390625
abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon agent,abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon legal,260357946704386184383696275322127387975,0.5,0.4765625,0.5390625,0.5234375,0.5234375,0.4921875,0.5546875,0.453125,0.46875,0.40625
legal winner thank year wave sausage worth useful legal winner thank year wave sausage worth useful legal will,legal winner thank year wave sausage worth useful legal winner thank year wave sausage worth useful legal letter,301882938828009640028056351184717279721,0.46875,0.41732283464566927,0.5546875,0.5078125,0.5546875,0.5158730158730159,0.5078125,0.515625,0.5433070866141733,0.4523809523809524
letter advice cage absurd amount doctor acoustic avoid letter advice cage absurd amount doctor acoustic avoid letter always,letter advice cage absurd amount doctor acoustic avoid letter advice cage absurd amount doctor acoustic avoid letter zoo,2952725524145421748579850428337925890,0.6141732283464567,0.4921875,0.5,0.484375,0.546875,0.578125,0.46875,0.5390625,0.4296875,0.484375
zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo when,zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo abandon,317385781440296243012764807814724383463,0.4765625,0.515625,0.515625,0.5078125,0.5546875,0.4609375,0.5039370078740157,0.5546875,0.47619047619047616,0.52
abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon art,abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon legal,272894925167425408163210290847406765825,0.5390625,0.5984251968503937,0.6031746031746031,0.5703125,0.5078125,0.609375,0.5234375,0.5433070866141733,0.40625,0.515625
legal winner thank year wave sausage worth useful legal winner thank year wave sausage worth useful legal winner thank year wave sausage worth title,legal winner thank year wave sausage worth useful legal winner thank year wave sausage worth useful legal winner thank year wave sausage worth letter,48050918971651517004704727360166336926,0.484375,0.484375,0.578125,0.53125,0.46875,0.53125,0.46875,0.4765625,0.453125,0.484375
letter advice cage absurd amount doctor acoustic avoid letter advice cage absurd amount doctor acoustic avoid letter advice cage absurd amount doctor acoustic bless,letter advice cage absurd amount doctor acoustic avoid letter advice cage absurd amount doctor acoustic avoid letter advice cage absurd amount doctor acoustic zoo,177805165603711242010001513147295853855,0.5234375,0.5669291338582677,0.49606299212598426,0.3828125,0.53125,0.5390625,0.4765625,0.5078125,0.4375,0.5
zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo vote,zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo ozone,293535411786278141095957189386509738055,0.4921875,0.5039370078740157,0.4645669291338583,0.6484375,0.4375,0.5,0.46875,0.546875,0.4296875,0.48412698412698413
ozone drill grab fiber curtain grace pudding thank cruise elder eight picnic,ozone drill grab fiber curtain grace pudding thank cruise elder eight machine,111482193866103135897880332600523217759,0.47244094488188976,0.5,0.5078125,0.4296875,0.4921875,0.453125,0.4921875,0.46875,0.5354330708661418,0.5039370078740157
gravity machine north sort system female filter attitude volume fold club stay feature office ecology stable narrow fog,gravity machine north sort system female filter attitude volume fold club stay feature office ecology stable narrow hamster,296091330452607050833708321055760878847,0.4765625,0.5,0.5,0.4921875,0.5625,0.5078125,0.5,0.53125,0.4453125,0.46875
hamster diagram private dutch cause delay private meat slide toddler razor book happy fancy gospel tennis maple dilemma loan word shrug inflict delay length,hamster diagram private dutch cause delay private meat slide toddler razor book happy fancy gospel tennis maple dilemma loan word shrug inflict delay scheme,269035001046870251374461315907101850245,0.4765625,0.5546875,0.49606299212598426,0.421875,0.5546875,0.5078125,0.5,0.5476190476190477,0.5275590551181102,0.546875
